title,desc,category,needs,duration,energy,link,link_label
Blind-contour portraits,"Sit facing each other with sketchpads. Set a 5-minute timer. Keep your eyes on your partner's face and draw one continuous line without glancing down. When the timer ends, share one detail you enjoyed capturing before showing the portraits.",creativity,Self expression|To be seen,5,calm,,
20-word micro-story,Write exactly 20 words about today.,creativity,Self expression|Autonomy,15,calm,,
Four-panel comic,Sketch today in four frames.,creativity,Self expression|Recognition,15,medium,,
Blackout poetry,Use an old flyer or mailer and mark over words until you only have a short poem left.,creativity,Self expression|Serenity,15,calm,,
Collage from junk mail,Cut and tape scraps into a tiny scene or creature.,creativity,Beauty|Freedom,15,playful,,
Tonight poem,Each write a 10-line poem where each line starts with ‘Tonight…’.,creativity,Self expression|Clarity,12,calm,,
Paper heart note,"Fold a simple paper heart: fold paper in half, bring top corners to the center, fold the bottom up and tuck points to round the edges, then add a short note and gift it.",creativity,Contribution|Appreciation,12,calm,,
Doodle swap,One person starts a doodle; the other finishes it.,creativity,Mutuality|Friendship,10,playful,,
Charades,Use the Charades prompt button below to draw a surprise idea and act it out silently.,play,Friendship|Participation,15,lively,,
20 questions with a maybe,"Choose a secret everyday object. Tap the Yes/No prompt button below for ready-made questions to ask, and allow exactly one 'maybe' answer each round. Swap who thinks of the mystery item every game.",play,Understanding|Participation,12,calm,,
Household pictionary,Each draw a random object in the house and attempt to guess what each other drew.,play,Friendship|Closeness,15,lively,,
Story baton,Tell a story together one sentence at a time.,play,Mutuality|Empathy,10,playful,,
Blanket-fort speed build,"Construct a cozy fort, then sit inside for two minutes.",play,Support|Community,15,lively,,
Scavenger hunt,Find 5 yellow things or 3 circles around the room.,play,Act Freely|Accomplishment,12,playful,,
Appreciation sprint,"Each write five specific appreciations of the other, then read aloud.",connection,Appreciation|Acknowledgement,12,warm,,
Back-to-back drawing,"Sit back-to-back with paper and pencil. One partner describes an object in their view using simple shapes, sizes, and positions while the other sketches without looking; reveal and compare when done.",connection,Trust|Closeness,12,medium,,
Draw on my back,Your partner draws something on your back while you attempt to draw it on paper following their lead.,movement,Physical Fitness|Mutuality,10,calm,,
Hallway bowling,Use bottles as pins and rolled socks as the ball.,movement,Act Freely|Friendship,12,lively,,
Living-room dance party,Make your own rhythm—no music required.,movement,Freedom|Participation,10,lively,,
Plank and pun duel,Hold a plank while your partner tells groan-worthy puns.,movement,Accomplishment|Friendship,8,lively,https://wstyler.ucsd.edu/puns/,Browse pun list
Tea ceremony,"Brew, pour slowly, and describe the flavors you notice.",calm,Peace|Serenity,12,calm,,
5-4-3-2-1 grounding,"Notice 5 sights, 4 touches, 3 sounds, 2 smells, 1 taste.",calm,Serenity|Clarity,8,calm,,
Body scan with self-massage,"Notice sensations while massaging temples, jaw, shoulders, hands, and feet.",calm,Rest|Do things at my own pace and in my own way,12,calm,,
Draw your breathing,"Without looking at the page, let your pen wander a wavy line that rises on inhales and falls on exhales. Look after a minute and add tiny marks for any pauses or sighs you noticed.",calm,Serenity|Self expression,10,calm,,
Home words candle ritual,Light a candle and write 10 words that feel like home.,calm,Peace|Acknowledgement,10,warm,,
Create 2 shared gestures,"Sit together and invent two simple hand gestures for feelings you want to remember tonight. Agree on what each one means, practice them back and forth, and try using them later for quick check-ins.",learning,Mutuality|Understanding,12,calm,,
Read one poem aloud,"Read a poem aloud, choose one line, and share why it stands out.",learning,Closeness|To be heard,10,calm,,
Map your home from memory,"Sketch a top-down map, then compare versions.",learning,Understanding|Predictability,12,playful,,
Label the cable tangle,Make three labels from tape or paper and put them on  cords.,order,Order|Predictability,8,calm,,
Water-and-prune round,Water plants and remove one tired leaf per plant.,order,Need for all living things to flourish|Nurturing,12,calm,,
Spice blending lab,"Open three spices, mix a pinch, and name the blend.",senses,Beauty|Freedom,10,playful,,
Ice-cube experiment,Hold an ice cube for 10 seconds then journal sensations.,senses,Participation|Growth,8,calm,,
Indoor smell walk,"Each person gathers five distinct smells and lines them up from comforting to zesty. Trade trays, explore each other's picks, then rearrange them to show how you'd order your partner's selection.",senses,Beauty|Connection,10,playful,,
3×3 gratitude,"Name 3 things you are grateful for about me, 3 about you, and 3 about our space.",reflection,Appreciation|Mattering,10,warm,,
Needs check-in,"Each name one need alive right now, then choose a fitting idea.",reflection,Mutuality|Need to matter,8,calm,https://needshare.net/needs,Browse Needs
Note hideaway,Each write a note and hide it at eye level for the other person later.,reflection,Love/Caring|Belonging,10,warm,,
Weather report doodles,Draw today as weather icons and compare forecasts.,reflection,Self expression|Honesty,12,playful,,
Two-word check-in,"Set a three-minute timer. Each person shares exactly two words describing their inner weather, then one sentence about what would make the next hour sweeter.",connection,To be seen|Clarity,3,warm,,
Read me this,"Grab any nearby book, find one sentence that catches your eye, and read it aloud. The listener replies with the part they liked hearing before swapping roles.",connection,Attention|Understanding,4,warm,,
60-second map,"On scrap paper, each sketch a quick map of your inner world with blobs or labels. Swap and check if you understood each other.",connection,Expression|Empathy,4,calm,,
Five things game,Pick a playful category like “green things at home” or “nicknames for the couch.” Take turns naming five items each.,play,Play|Spontaneity,6,playful,,
